week,market,mascot,rank,prev_rank,wins,losses,points
W5,Nevada,Wolf Pack,6,5,8,0,1300
W5,Tennessee,Volunteers,7,6,6,1,1238
W5,Auburn,Tigers,8,8,6,1,1154
W5,Kentucky,Wildcats,9,10,7,1,1070
W5,Michigan State,Spartans,10,9,6,2,915
W5,Florida State,Seminoles,11,15,6,1,871
W5,Wisconsin,Badgers,12,22,7,1,809
W5,Texas Tech,Red Raiders,13,20,7,0,783
W5,North Carolina,Tar Heels,14,11,6,2,782
W5,Virginia Tech,Hokies,15,13,6,1,675
W5,Kansas State,Wildcats,16,12,6,1,629
W5,Buffalo,Bulls,17,21,7,0,515
W5,Iowa,Hawkeyes,18,14,6,1,417
W5,Ohio State,Buckeyes,19,16,7,1,385
W5,Arizona State,Sun Devils,20,,7,0,384
W5,Villanova,Wildcats,21,23,6,2,356
W5,Mississippi State,Bulldogs,22,25,6,1,243
W5,Maryland,Terrapins,23,24,7,1,204
W5,Nebraska,Cornhuskers,24,,7,1,176
W5,Furman,Paladins,25,,8,0,101
W6,Kansas,Jayhawks,1,2,8,0,1583
W6,Duke,Blue Devils,2,3,9,1,1454
W6,Tennessee,Volunteers,3,7,7,1,1421
W6,Gonzaga,Bulldogs,4,1,9,1,1412
W6,Michigan,Wolverines,5,5,10,0,1398
